word,today_count,yesterday_count ,growth_rate,trend_score,label
giriyoruz,1,1,0.0,0.0,0
sürüyor,1,1,0.0,0.0,0
yerine,1,1,0.0,0.0,0
gıdalar,1,1,0.0,0.0,0
yaşında,2,2,0.0,0.0,0
tahıllar,1,1,0.0,0.0,0
hiçbir,1,1,0.0,0.0,0
krediye,1,1,0.0,0.0,0
altına,1,3,-0.6666666666666666,-0.6666666666666666,0
kurgu,1,1,0.0,0.0,0
